method_name,loc,num_params,is_long_method,is_long_param
Update_table3,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
keyReleased,1,1,0,0
txt_searchKeyReleased,1,1,0,0
jButton1ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jComboBox6ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
getScreenShot,1,1,0,0
SaveScreenShot,1,2,0,0
PrintActionPerformed,1,1,0,0
jTextField1ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
Store,1,1,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jTextField1ActionPerformed,1,1,0,0
jTextField2ActionPerformed,1,1,0,0
getScreenShot,1,1,0,0
SaveScreenShot,1,2,0,0
jButton2ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
jTextField4ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
java_db,1,0,0,0
currentDate,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
txt_usernameActionPerformed,1,1,0,0
txt_comboActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jButton5ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
jMenuItem1ActionPerformed,1,1,0,0
jMenuItem2ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
initComponents,5,0,0,0
main,3,1,0,0
run,1,0,0,0
Store,1,0,0,0
currentDate,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
componentRemoved,1,1,0,0
actionPerformed,1,1,0,0
keyReleased,1,1,0,0
actionPerformed,1,1,0,0
jMenuItem1ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
cmd_saveActionPerformed,1,1,0,0
txt_aptActionPerformed,1,1,0,0
txt_firstnameActionPerformed,1,1,0,0
r_femaleActionPerformed,1,1,0,0
r_maleActionPerformed,1,1,0,0
jButton3ActionPerformed,1,1,0,0
txt_search1ComponentRemoved,1,1,0,0
txt_search1ActionPerformed,1,1,0,0
txt_search1KeyReleased,1,1,0,0
button2ActionPerformed,1,1,0,0
txt_addressActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
main,3,1,0,0
Fillcombobox,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
popupMenuCanceled,1,1,0,0
popupMenuWillBecomeInvisible,1,1,0,0
popupMenuWillBecomeVisible,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
cmd_deleteActionPerformed,1,1,0,0
txt_comboPopupMenuWillBecomeInvisible,1,1,0,0
cmd_updateActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
cmd_addActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
main,1,1,0,0
createAccount,1,2,0,0
loginAccount,1,2,0,0
getBalance,1,1,0,0
transferMoney,1,3,0,0
getConnection,1,0,0,0
addAccount,1,3,0,0
displayAccountInfo,1,1,0,0
performTransaction,1,2,0,0
getAccountNumber,1,0,0,0
getCustomerName,1,0,0,0
getBalance,1,0,0,0
deposit,1,1,0,0
main,1,1,0,0
addIncome,1,1,0,0
addExpense,1,1,0,0
getBalance,1,0,0,0
main,1,1,0,0
pressAnyKeyToContinue,1,0,0,0
readString,1,0,0,0
login,1,0,0,0
getCurrentTimeUsingDate,1,0,0,0
menu,1,0,0,0
patient,1,0,0,0
diagnos,1,0,0,0
history,1,0,0,0
bill,1,0,0,0
exit,1,0,0,0
info,1,0,0,0
main,1,1,0,0
pressAnyKeyToContinue,1,0,0,0
readString,1,0,0,0
login,1,0,0,0
getCurrentTimeUsingDate,1,0,0,0
menu,1,0,0,0
patient,1,0,0,0
diagnos,1,0,0,0
history,1,0,0,0
bill,1,0,0,0
exit,1,0,0,0
info,1,0,0,0
main,1,1,0,0
getId,1,0,0,0
setId,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getEmail,1,0,0,0
setEmail,1,1,0,0
getPassword,1,0,0,0
setPassword,1,1,0,0
getAddress,1,0,0,0
setAddress,1,1,0,0
getContact,1,0,0,0
setContact,1,1,0,0
getRollno,1,0,0,0
setRollno,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getEmail,1,0,0,0
setEmail,1,1,0,0
getSex,1,0,0,0
setSex,1,1,0,0
getCourse,1,0,0,0
setCourse,1,1,0,0
getFee,1,0,0,0
setFee,1,1,0,0
getPaid,1,0,0,0
setPaid,1,1,0,0
getDue,1,0,0,0
setDue,1,1,0,0
getAddress,1,0,0,0
setAddress,1,1,0,0
getContact,1,0,0,0
setContact,1,1,0,0
save,1,1,0,0
validate,1,2,0,0
update,1,1,0,0
delete,1,1,0,0
getAllRecords,1,0,0,0
getRecordById,1,1,0,0
getCon,1,0,0,0
save,1,1,0,0
update,1,1,0,0
delete,1,1,0,0
deleteByName,1,1,0,0
getAllRecords,1,0,0,0
getDues,1,0,0,0
getRecordByRollno,1,1,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
getId,1,0,0,0
setId,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getEmail,1,0,0,0
setEmail,1,1,0,0
getPassword,1,0,0,0
setPassword,1,1,0,0
getAddress,1,0,0,0
setAddress,1,1,0,0
getContact,1,0,0,0
setContact,1,1,0,0
getRollno,1,0,0,0
setRollno,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getEmail,1,0,0,0
setEmail,1,1,0,0
getSex,1,0,0,0
setSex,1,1,0,0
getCourse,1,0,0,0
setCourse,1,1,0,0
getFee,1,0,0,0
setFee,1,1,0,0
getPaid,1,0,0,0
setPaid,1,1,0,0
getDue,1,0,0,0
setDue,1,1,0,0
getAddress,1,0,0,0
setAddress,1,1,0,0
getContact,1,0,0,0
setContact,1,1,0,0
save,1,1,0,0
validate,1,2,0,0
update,1,1,0,0
delete,1,1,0,0
getAllRecords,1,0,0,0
getRecordById,1,1,0,0
getCon,1,0,0,0
save,1,1,0,0
update,1,1,0,0
delete,1,1,0,0
deleteByName,1,1,0,0
getAllRecords,1,0,0,0
getDues,1,0,0,0
getRecordByRollno,1,1,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
doGet,1,2,0,0
doPost,1,2,0,0
AddBook,1,1,0,0
ShowAvailableBook,1,0,0,0
IssueBook,1,1,0,0
returnBook,1,1,0,0
main,1,1,0,0
addBookMenu,1,0,0,0
addBook,1,1,0,0
addMemberMenu,1,0,0,0
addMember,1,1,0,0
getUnitsAvailable,1,0,0,0
setUnitsAvailable,1,1,0,0
getIsbnCode,1,0,0,0
setIsbnCode,1,1,0,0
getBookName,1,0,0,0
setBookName,1,1,0,0
getBookDesc,1,0,0,0
setBookDesc,1,1,0,0
getAuthorName,1,0,0,0
setAuthorName,1,1,0,0
getSubjectName,1,0,0,0
setSubjectName,1,1,0,0
callIssueMenu,1,0,0,0
issueBook,1,2,0,0
callReturnMenu,1,0,0,0
returnBook,1,2,0,0
getConnection,1,0,0,0
getDateOfJoining,1,0,0,0
setDateOfJoining,1,1,0,0
getMemberId,1,0,0,0
setMemberId,1,1,0,0
getMemberName,1,0,0,0
setMemberName,1,1,0,0
main,1,1,0,0
processUserInput,1,1,0,0
main,1,1,0,0
getIsbn,1,0,0,0
getTitle,1,0,0,0
getQty,1,0,0,0
setQty,1,1,0,0
addQty,1,1,0,0
getPrice,1,0,0,0
addOrder,1,2,0,0
cancelOrder,1,1,0,0
ejbActivate,1,0,0,0
ejbRemove,1,0,0,0
ejbPassivate,1,0,0,0
setSessionContext,1,1,0,0
ejbCreate,1,0,0,0
addOrder,1,2,0,0
cancelOrder,1,1,0,0
create,1,0,0,0
backupOrderData,1,0,0,0
restoreOrderData,1,0,0,0
generateAnalyticsReport,1,0,0,0
find,1,1,0,0
addItem,1,1,0,0
getItems,1,0,0,0
removeItem,1,1,0,0
clearAll,1,0,0,0
updateQty,1,2,0,0
finalizeOrder,1,1,0,0
cancelOrder,1,1,0,0
getInitialContext,1,0,0,0
getJNDIContext,1,0,0,0
setCustname,1,1,0,0
getCustname,1,0,0,0
setPhoneno,1,1,0,0
getPhoneno,1,0,0,0
setPassword,1,1,0,0
getPassword,1,0,0,0
setEmail,1,1,0,0
getEmail,1,0,0,0
isValid,1,0,0,0
updatePassword,1,1,0,0
registerUser,1,0,0,0
clean,1,2,0,0
getConnection,1,0,0,0
getInitialContext,1,0,0,0
getIsbn,1,0,0,0
getTitle,1,0,0,0
getQty,1,0,0,0
setQty,1,1,0,0
addQty,1,1,0,0
getPrice,1,0,0,0
getUserid,1,0,0,0
setUname,1,1,0,0
getUname,1,0,0,0
setPwd,1,1,0,0
getPwd,1,0,0,0
setEmail,1,1,0,0
getEmail,1,0,0,0
setAddress,1,1,0,0
getAddress,1,0,0,0
setPhone,1,1,0,0
getPhone,1,0,0,0
login,1,0,0,0
updateProfile,1,1,0,0
registerUser,1,0,0,0
isLogged,1,0,0,0
getNextUserid,1,1,0,0
clean,1,2,0,0
getConnection,1,0,0,0
windowActivated,1,1,0,0
windowDeactivated,1,1,0,0
windowIconified,1,1,0,0
windowDeiconified,1,1,0,0
windowClosing,1,1,0,0
windowClosed,1,1,0,0
windowOpened,1,1,0,0
main,1,1,0,0
actionPerformed,1,1,0,0
doPost,1,2,0,0
getDBConnection,1,0,0,0
doPost,1,2,0,0
check,1,2,0,0
checkvote,1,1,0,0
doPost,1,2,0,0
service,1,2,0,0
doPost,1,2,0,0
doPost,1,2,0,0
service,1,2,0,0
checkLogin,1,1,0,0
selectMenu,3,0,0,0
mainLoop,1,0,0,0
selectionCheck,1,1,0,0
userLogin,3,0,0,0
loginCheck,1,1,0,0
userLogout,1,0,0,0
chooseEditStaffMode,3,0,0,0
addNewStaff,1,0,0,0
generateID,1,0,0,0
updateStaff,1,0,0,0
deleteStaff,1,0,0,0
selectOrderMenu,3,0,0,0
showOrderList,1,0,0,0
createOrder,1,0,0,0
updateOrder,1,0,0,0
editOrderItem,1,1,0,0
addNewOrderItem,1,1,0,0
deleteOrderItem,1,1,0,0
closeOrder,1,0,0,0
cancelOrder,1,0,0,0
findOrder,1,0,0,0
chooseEditMenuItemMode,3,0,0,0
generateMenuID,1,0,0,0
addNewMenuItem,1,0,0,0
updateMenuItem,1,0,0,0
deleteMenuItem,1,0,0,0
showMenuList,3,0,0,0
showStaffList,1,0,0,0
printMessageToView,1,1,0,0
printErrorMessageToView,1,1,0,0
pause,1,1,0,0
generateReports,3,0,0,0
generateSalesReports,1,0,0,0
generatePaymentReports,1,0,0,0
setErrorMessage,1,1,0,0
getErrorMessage,1,0,0,0
getTodaysOrderCnt,1,0,0,0
getTodaysCancelCnt,1,0,0,0
getTotalSales,1,0,0,0
getCancelTotal,1,0,0,0
getOrderTotalCharge,1,1,0,0
getOrderState,1,1,0,0
getCurrentUserName,1,0,0,0
checkIfUserClockedOut,1,0,0,0
loginCheck,3,3,0,0
userLogout,1,0,0,0
addNewStaff,3,5,0,1
updateStaff,1,4,0,0
deleteStaff,1,1,0,0
getStaffData,1,1,0,0
clockOut,1,0,0,0
clockOut,1,1,0,0
clockOutAll,1,0,0,0
addNewMenuItem,3,4,0,0
updateMenuItem,1,4,0,0
deleteMenuItem,1,1,0,0
getMenuItemData,1,1,0,0
createOrder,3,0,0,0
addNewOrderItem,1,3,0,0
deleteOrderItem,1,2,0,0
closeOrder,1,1,0,0
cancelOrder,1,1,0,0
closeAllOrder,1,0,0,0
generateSalesReport,4,0,0,0
generatePaymentReport,1,0,0,0
createStaffList,3,0,0,0
createOrderList,1,0,0,0
createOrderItemlList,1,1,0,0
createMenuList,1,1,0,0
createPaymentList,1,0,0,0
getStaffList,3,0,0,0
getMenuList,1,0,0,0
getOrderList,1,0,0,0
getTodaysOrderCount,1,0,0,0
findStaffByID,1,1,0,0
findMenuItemByID,1,1,0,0
findOrderByID,1,1,0,0
editStaffData,1,4,0,0
editStaffData,1,3,0,0
deleteStaff,1,1,0,0
addStaff,1,5,0,1
editMenuItemData,1,4,0,0
editMenuItemData,1,3,0,0
setMenuItemAsPromotionItem,1,2,0,0
resetMenuState,1,1,0,0
deleteMenuItem,1,1,0,0
addMenuItem,1,4,0,0
addOrder,1,2,0,0
addOrderItem,1,3,0,0
deleteOrderItem,1,2,0,0
cancelOrder,1,1,0,0
deleteOrder,1,1,0,0
closeOrder,1,1,0,0
closeAllOrder,1,0,0,0
getOrderState,1,1,0,0
getOrderTotalCharge,1,1,0,0
checkIfAllOrderClosed,1,0,0,0
checkIfAllStaffCheckout,1,0,0,0
forthClockOutAllStaff,1,0,0,0
loadFiles,3,0,0,0
loadStaffFile,1,0,0,0
loadManagerFile,1,0,0,0
loadMenuFile,1,0,0,0
loadWageInfoFile,1,0,0,0
updateStaffFile,3,1,0,0
updateWageFile,1,0,0,0
updateMenuFile,1,0,0,0
generateOrderReport,1,1,0,0
generatePaymentReport,1,1,0,0
compare,1,2,0,0
compare,1,2,0,0
getErrMessage,1,0,0,0
setWageRate,1,1,0,0
culculateWages,1,0,0,0
setWageRate,1,1,0,0
culculateWages,1,0,0,0
setName,1,1,0,0
setPrice,1,1,0,0
setType,1,1,0,0
setState,1,2,0,0
resetState,1,0,0,0
getID,1,0,0,0
getName,1,0,0,0
getPrice,1,0,0,0
gerRegularPrice,1,0,0,0
getType,1,0,0,0
getState,1,0,0,0
getOrderID,3,0,0,0
getStaffID,1,0,0,0
getStaffName,1,0,0,0
